"group_name"	"n"	"Length"	"Percentcov"
"EOG091H00JS"	343	731	46.922024623803
"EOG091H00K1"	466	826	56.4164648910412
"EOG091H00K2"	90	955	9.42408376963351
"EOG091H00K6"	568	710	80
"EOG091H00K8"	572	805	71.055900621118
"EOG091H00KI"	383	867	44.1753171856978
"EOG091H00KL"	491	806	60.9181141439206
"EOG091H00KR"	148	836	17.7033492822967
"EOG091H00L2"	456	563	80.9946714031972
"EOG091H00L8"	503	825	60.969696969697
"EOG091H00LY"	312	698	44.6991404011461
"EOG091H00M0"	529	817	64.7490820073439
"EOG091H00MA"	253	840	30.1190476190476
"EOG091H00ME"	309	735	42.0408163265306
"EOG091H00MR"	58	1194	4.85762144053601
"EOG091H00MS"	108	640	16.875
"EOG091H00N0"	621	868	71.5437788018433
"EOG091H00N1"	248	802	30.9226932668329
"EOG091H00NA"	620	738	84.0108401084011
"EOG091H00NH"	652	753	86.5869853917663
"EOG091H00NK"	157	787	19.9491740787802
"EOG091H00NL"	92	627	14.6730462519936
"EOG091H00NM"	173	740	23.3783783783784
"EOG091H00NT"	78	755	10.3311258278146
"EOG091H00O1"	430	760	56.578947368421
"EOG091H00O6"	249	774	32.1705426356589
"EOG091H00OG"	246	668	36.8263473053892
"EOG091H00OH"	46	423	10.8747044917258
"EOG091H00OW"	193	703	27.4537695590327
"EOG091H00OX"	293	865	33.8728323699422
"EOG091H00P3"	530	712	74.438202247191
"EOG091H00PN"	248	776	31.9587628865979
"EOG091H00PS"	63	717	8.78661087866109
"EOG091H00PT"	172	725	23.7241379310345
"EOG091H00PU"	290	655	44.2748091603053
"EOG091H00Q7"	504	747	67.4698795180723
"EOG091H00Q9"	12	743	1.61507402422611
"EOG091H00QE"	243	375	64.8
"EOG091H00QH"	253	789	32.0659062103929
"EOG091H00QS"	316	667	47.376311844078
"EOG091H00QU"	258	828	31.1594202898551
"EOG091H00R6"	154	722	21.3296398891967
"EOG091H00RF"	57	703	8.10810810810811
"EOG091H00RU"	208	604	34.4370860927152
"EOG091H00S9"	22	764	2.87958115183246
"EOG091H00SJ"	169	719	23.5048678720445
"EOG091H00SK"	207	660	31.3636363636364
"EOG091H00SU"	119	729	16.323731138546
"EOG091H00T3"	151	797	18.9460476787955
"EOG091H00T6"	528	766	68.9295039164491
"EOG091H00T7"	158	689	22.9317851959361
"EOG091H00TB"	237	1290	18.3720930232558
"EOG091H00TG"	142	918	15.4684095860566
"EOG091H00U7"	405	743	54.5087483176312
"EOG091H00UC"	104	794	13.0982367758186
"EOG091H00UT"	69	923	7.47562296858072
"EOG091H00VB"	394	624	63.1410256410256
"EOG091H00VG"	425	789	53.8656527249683
"EOG091H00VK"	203	639	31.7683881064163
"EOG091H00VP"	108	599	18.0300500834725
"EOG091H00VX"	399	643	62.0528771384137
"EOG091H00VY"	146	1002	14.5708582834331
"EOG091H00VZ"	296	715	41.3986013986014
"EOG091H00WC"	70	884	7.91855203619909
"EOG091H00WE"	514	673	76.3744427934621
"EOG091H00WG"	60	714	8.40336134453782
"EOG091H00WJ"	287	642	44.7040498442368
"EOG091H00WM"	394	618	63.7540453074434
"EOG091H00XH"	286	642	44.5482866043614
"EOG091H00XI"	124	910	13.6263736263736
"EOG091H00YA"	197	422	46.6824644549763
"EOG091H00YF"	232	643	36.0808709175739
"EOG091H00YH"	479	683	70.1317715959004
"EOG091H00YI"	256	650	39.3846153846154
"EOG091H00YM"	231	658	35.1063829787234
"EOG091H00YU"	442	655	67.4809160305344
"EOG091H00ZE"	537	621	86.4734299516908
"EOG091H00ZH"	970	1692	57.3286052009456
"EOG091H00ZS"	358	588	60.8843537414966
"EOG091H00ZZ"	348	607	57.331136738056
"EOG091H0107"	453	611	74.1407528641571
"EOG091H0116"	323	618	52.2653721682848
"EOG091H011J"	429	656	65.3963414634146
"EOG091H011U"	206	614	33.5504885993485
"EOG091H0121"	345	651	52.9953917050691
"EOG091H0127"	388	659	58.8770864946889
"EOG091H012C"	104	251	41.4342629482072
"EOG091H012J"	19	1764	1.07709750566893
"EOG091H012M"	98	713	13.7447405329593
"EOG091H0130"	171	678	25.2212389380531
"EOG091H0131"	366	535	68.411214953271
"EOG091H013B"	467	584	79.9657534246575
"EOG091H013G"	268	483	55.4865424430642
"EOG091H013T"	316	558	56.6308243727599
"EOG091H013W"	15	606	2.47524752475248
"EOG091H013Z"	355	735	48.2993197278912
"EOG091H014E"	95	836	11.3636363636364
"EOG091H014Q"	79	624	12.6602564102564
"EOG091H014S"	230	612	37.5816993464052
"EOG091H014U"	186	556	33.4532374100719
"EOG091H015E"	328	588	55.7823129251701
"EOG091H015X"	375	653	57.427258805513
"EOG091H0162"	398	569	69.9472759226714
"EOG091H016F"	231	604	38.2450331125828
"EOG091H016I"	354	554	63.898916967509
"EOG091H016J"	93	736	12.6358695652174
"EOG091H016T"	271	562	48.220640569395
"EOG091H016V"	212	649	32.6656394453005
"EOG091H0178"	104	663	15.6862745098039
"EOG091H017F"	119	642	18.5358255451713
"EOG091H017O"	297	530	56.0377358490566
"EOG091H018G"	46	522	8.81226053639847
"EOG091H018I"	161	535	30.0934579439252
"EOG091H018Y"	203	554	36.6425992779783
"EOG091H0190"	72	602	11.9601328903654
"EOG091H019D"	88	605	14.5454545454545
"EOG091H019P"	108	448	24.1071428571429
"EOG091H01A9"	158	554	28.5198555956679
"EOG091H01AG"	220	673	32.6894502228826
"EOG091H01B8"	232	628	36.9426751592357
"EOG091H01BG"	254	562	45.1957295373665
"EOG091H01BP"	135	610	22.1311475409836
"EOG091H01BU"	101	500	20.2
"EOG091H01C0"	185	543	34.0699815837937
"EOG091H01CG"	313	494	63.3603238866397
"EOG091H01CI"	429	660	65
"EOG091H01CK"	275	628	43.7898089171975
"EOG091H01CQ"	246	596	41.2751677852349
"EOG091H01CW"	561	629	89.1891891891892
"EOG091H01DE"	207	559	37.0304114490161
"EOG091H01DL"	183	571	32.0490367775832
"EOG091H01DR"	84	675	12.4444444444444
"EOG091H01DX"	181	570	31.7543859649123
"EOG091H01EA"	387	492	78.6585365853659
"EOG091H01EK"	335	547	61.2431444241316
"EOG091H01EN"	285	515	55.3398058252427
"EOG091H01EU"	289	366	78.9617486338798
"EOG091H01EY"	253	543	46.5930018416206
"EOG091H01F1"	382	529	72.2117202268431
"EOG091H01F7"	46	538	8.55018587360595
"EOG091H01FB"	209	605	34.5454545454545
"EOG091H01FI"	247	557	44.3447037701975
"EOG091H01FZ"	155	509	30.4518664047151
"EOG091H01GK"	234	433	54.0415704387991
"EOG091H01GT"	311	496	62.7016129032258
"EOG091H01H2"	36	516	6.97674418604651
"EOG091H01H5"	134	562	23.8434163701068
"EOG091H01HA"	22	388	5.67010309278351
"EOG091H01HW"	210	603	34.8258706467662
"EOG091H01I1"	65	611	10.6382978723404
"EOG091H01IT"	193	520	37.1153846153846
"EOG091H01IX"	350	515	67.9611650485437
"EOG091H01J0"	252	482	52.2821576763486
"EOG091H01J9"	307	517	59.3810444874275
"EOG091H01JA"	248	543	45.6721915285451
"EOG091H01JM"	148	491	30.142566191446
"EOG091H01JQ"	191	808	23.6386138613861
"EOG091H01JV"	251	512	49.0234375
"EOG091H01K3"	179	489	36.6053169734151
"EOG091H01K7"	177	677	26.1447562776957
"EOG091H01K8"	172	326	52.760736196319
"EOG091H01KU"	347	498	69.6787148594377
"EOG091H01KW"	262	506	51.7786561264822
"EOG091H01L1"	7	565	1.23893805309735
"EOG091H01L2"	230	452	50.8849557522124
"EOG091H01LC"	252	491	51.3238289205703
"EOG091H01LE"	207	502	41.2350597609562
"EOG091H01LW"	222	373	59.5174262734584
"EOG091H01MG"	188	600	31.3333333333333
"EOG091H01ML"	217	526	41.254752851711
"EOG091H01MN"	50	407	12.2850122850123
"EOG091H01MS"	245	476	51.4705882352941
"EOG091H01MU"	287	627	45.7735247208931
"EOG091H01MY"	439	525	83.6190476190476
"EOG091H01N6"	238	485	49.0721649484536
"EOG091H01N7"	327	504	64.8809523809524
"EOG091H01NB"	164	549	29.8724954462659
"EOG091H01OC"	407	508	80.1181102362205
"EOG091H01OP"	239	481	49.6881496881497
"EOG091H01OQ"	177	495	35.7575757575758
"EOG091H01OS"	311	460	67.6086956521739
"EOG091H01OW"	260	465	55.9139784946236
"EOG091H01PG"	281	496	56.6532258064516
"EOG091H01PH"	218	409	53.3007334963325
"EOG091H01PS"	158	448	35.2678571428571
"EOG091H01PY"	242	276	87.6811594202899
"EOG091H01Q0"	236	777	30.3732303732304
"EOG091H01QU"	89	536	16.6044776119403
"EOG091H01R8"	93	526	17.680608365019
"EOG091H01RK"	208	520	40
"EOG091H01RN"	250	525	47.6190476190476
"EOG091H01S2"	204	483	42.2360248447205
"EOG091H01SH"	261	429	60.8391608391608
"EOG091H01SI"	268	441	60.7709750566893
"EOG091H01SR"	43	472	9.11016949152542
"EOG091H01T6"	208	587	35.4344122657581
"EOG091H01TF"	143	528	27.0833333333333
"EOG091H01TP"	273	521	52.3992322456814
"EOG091H01TQ"	261	479	54.4885177453027
"EOG091H01UD"	261	381	68.503937007874
"EOG091H01UU"	386	521	74.0882917466411
"EOG091H01UZ"	207	593	34.9072512647555
"EOG091H01V0"	66	681	9.69162995594714
"EOG091H01V3"	94	559	16.8157423971377
"EOG091H01V8"	135	437	30.8924485125858
"EOG091H01VC"	56	655	8.54961832061069
"EOG091H01VQ"	290	515	56.3106796116505
"EOG091H01WD"	103	618	16.6666666666667
"EOG091H01WM"	142	570	24.9122807017544
"EOG091H01WO"	196	430	45.5813953488372
"EOG091H01WT"	216	521	41.4587332053743
"EOG091H01X1"	156	514	30.3501945525292
"EOG091H01X3"	303	477	63.5220125786163
"EOG091H01XR"	40	462	8.65800865800866
"EOG091H01XS"	391	491	79.6334012219959
"EOG091H01Y3"	306	463	66.0907127429806
"EOG091H01Y6"	40	583	6.86106346483705
"EOG091H01YD"	201	521	38.5796545105566
"EOG091H01YG"	238	567	41.9753086419753
"EOG091H01YM"	129	251	51.394422310757
"EOG091H01YN"	358	472	75.8474576271186
"EOG091H01Z5"	338	392	86.2244897959184
"EOG091H01Z9"	134	423	31.6784869976359
"EOG091H01ZC"	206	479	43.0062630480167
"EOG091H01ZI"	357	446	80.0448430493274
"EOG091H01ZP"	318	495	64.2424242424242
"EOG091H01ZX"	257	567	45.326278659612
"EOG091H0203"	133	464	28.6637931034483
"EOG091H020A"	358	449	79.7327394209354
"EOG091H0212"	387	487	79.4661190965092
"EOG091H0214"	86	452	19.0265486725664
"EOG091H0219"	186	431	43.1554524361949
"EOG091H021O"	246	476	51.6806722689076
"EOG091H021P"	382	624	61.2179487179487
"EOG091H0234"	84	427	19.672131147541
"EOG091H0236"	423	459	92.156862745098
"EOG091H023L"	213	425	50.1176470588235
"EOG091H023Q"	268	463	57.8833693304536
"EOG091H0242"	293	376	77.9255319148936
"EOG091H024D"	206	447	46.0850111856823
"EOG091H024K"	330	419	78.7589498806683
"EOG091H024T"	154	493	31.237322515213
"EOG091H025F"	62	651	9.52380952380952
"EOG091H025I"	129	415	31.0843373493976
"EOG091H025Q"	300	428	70.0934579439252
"EOG091H025R"	330	414	79.7101449275362
"EOG091H025U"	110	477	23.0607966457023
"EOG091H026S"	331	422	78.436018957346
"EOG091H026T"	440	454	96.9162995594714
"EOG091H027A"	67	456	14.6929824561404
"EOG091H027F"	28	328	8.53658536585366
"EOG091H027V"	404	497	81.2877263581489
"EOG091H0285"	219	424	51.6509433962264
"EOG091H0286"	269	429	62.7039627039627
"EOG091H028C"	157	420	37.3809523809524
"EOG091H028G"	109	456	23.9035087719298
"EOG091H028H"	154	420	36.6666666666667
"EOG091H028N"	174	460	37.8260869565217
"EOG091H028T"	196	404	48.5148514851485
"EOG091H028Y"	291	409	71.1491442542787
"EOG091H029Q"	27	362	7.4585635359116
"EOG091H029S"	89	448	19.8660714285714
"EOG091H02AB"	257	481	53.4303534303534
"EOG091H02AK"	311	451	68.9578713968958
"EOG091H02AZ"	190	419	45.346062052506
"EOG091H02B3"	146	693	21.0678210678211
"EOG091H02B8"	372	489	76.0736196319018
"EOG091H02C1"	228	403	56.575682382134
"EOG091H02CS"	149	441	33.7868480725624
"EOG091H02CZ"	50	491	10.183299389002
"EOG091H02D7"	393	437	89.9313501144165
"EOG091H02D8"	110	402	27.363184079602
"EOG091H02DD"	81	562	14.4128113879004
"EOG091H02DK"	222	574	38.6759581881533
"EOG091H02FN"	147	331	44.4108761329305
"EOG091H02FR"	149	390	38.2051282051282
"EOG091H02FZ"	250	399	62.65664160401
"EOG091H02G0"	21	343	6.12244897959184
"EOG091H02GQ"	187	350	53.4285714285714
"EOG091H02GU"	328	650	50.4615384615385
"EOG091H02GV"	130	346	37.5722543352601
"EOG091H02GX"	132	484	27.2727272727273
"EOG091H02H7"	133	516	25.7751937984496
"EOG091H02HH"	87	365	23.8356164383562
"EOG091H02HW"	348	446	78.0269058295964
"EOG091H02I0"	215	446	48.2062780269058
"EOG091H02I8"	355	429	82.7505827505828
"EOG091H02IM"	166	459	36.1655773420479
"EOG091H02J2"	154	494	31.1740890688259
"EOG091H02J5"	113	363	31.129476584022
"EOG091H02JU"	308	433	71.1316397228637
"EOG091H02JZ"	98	463	21.1663066954644
"EOG091H02K1"	180	283	63.6042402826855
"EOG091H02KG"	350	464	75.4310344827586
"EOG091H02KT"	244	392	62.2448979591837
"EOG091H02KZ"	56	393	14.2493638676845
"EOG091H02LC"	125	495	25.2525252525253
"EOG091H02LV"	88	413	21.3075060532688
"EOG091H02MQ"	172	346	49.7109826589595
"EOG091H02N2"	310	519	59.7302504816956
"EOG091H02N4"	390	412	94.6601941747573
"EOG091H02ND"	65	634	10.2523659305994
"EOG091H02NH"	165	425	38.8235294117647
"EOG091H02NI"	343	389	88.1748071979435
"EOG091H02NM"	137	331	41.3897280966767
"EOG091H02O4"	229	532	43.0451127819549
"EOG091H02OK"	152	378	40.2116402116402
"EOG091H02OZ"	137	280	48.9285714285714
"EOG091H02P6"	210	563	37.3001776198934
"EOG091H02PD"	110	464	23.7068965517241
"EOG091H02PE"	50	457	10.9409190371991
"EOG091H02PP"	216	353	61.1898016997167
"EOG091H02Q9"	259	350	74
"EOG091H02QB"	190	299	63.5451505016722
"EOG091H02QD"	161	425	37.8823529411765
"EOG091H02QU"	69	445	15.5056179775281
"EOG091H02QY"	87	297	29.2929292929293
"EOG091H02R1"	230	371	61.9946091644205
"EOG091H02RC"	250	405	61.7283950617284
"EOG091H02RR"	226	365	61.9178082191781
"EOG091H02S6"	48	386	12.4352331606218
"EOG091H02S8"	307	379	81.0026385224274
"EOG091H02SL"	138	410	33.6585365853659
"EOG091H02SZ"	88	398	22.1105527638191
"EOG091H02T9"	270	379	71.2401055408971
"EOG091H02TB"	175	383	45.6919060052219
"EOG091H02TJ"	270	424	63.6792452830189
"EOG091H02UF"	205	351	58.4045584045584
"EOG091H02US"	207	378	54.7619047619048
"EOG091H02V3"	137	289	47.4048442906574
"EOG091H02V7"	69	293	23.5494880546075
"EOG091H02VU"	113	395	28.6075949367089
"EOG091H02VX"	292	412	70.873786407767
"EOG091H02W1"	52	418	12.4401913875598
"EOG091H02W7"	56	163	34.3558282208589
"EOG091H02X0"	224	309	72.4919093851133
"EOG091H02XN"	23	200	11.5
"EOG091H02XP"	260	347	74.9279538904899
"EOG091H02XU"	157	376	41.7553191489362
"EOG091H02YK"	35	383	9.13838120104439
"EOG091H02Z6"	272	368	73.9130434782609
"EOG091H02ZH"	323	401	80.5486284289277
"EOG091H02ZR"	22	546	4.02930402930403
"EOG091H0302"	92	405	22.7160493827161
"EOG091H0306"	75	375	20
"EOG091H0315"	123	365	33.6986301369863
"EOG091H032B"	278	365	76.1643835616438
"EOG091H032X"	191	313	61.0223642172524
"EOG091H0338"	137	357	38.375350140056
"EOG091H033A"	163	351	46.4387464387464
"EOG091H033H"	242	356	67.9775280898876
"EOG091H033Y"	159	343	46.3556851311953
"EOG091H034Q"	234	391	59.846547314578
"EOG091H034R"	111	396	28.030303030303
"EOG091H0352"	87	477	18.2389937106918
"EOG091H0357"	129	361	35.7340720221607
"EOG091H0362"	27	571	4.72854640980736
"EOG091H0365"	274	398	68.8442211055276
"EOG091H036I"	342	405	84.4444444444444
"EOG091H036T"	19	379	5.0131926121372
"EOG091H037A"	90	378	23.8095238095238
"EOG091H037R"	67	450	14.8888888888889
"EOG091H0387"	326	331	98.4894259818731
"EOG091H038Z"	109	456	23.9035087719298
"EOG091H0395"	145	341	42.5219941348974
"EOG091H039M"	293	403	72.7047146401985
"EOG091H039S"	57	244	23.3606557377049
"EOG091H03A1"	202	454	44.4933920704846
"EOG091H03AL"	288	334	86.2275449101796
"EOG091H03AR"	169	351	48.1481481481481
"EOG091H03AV"	226	300	75.3333333333333
"EOG091H03B0"	252	363	69.4214876033058
"EOG091H03B2"	113	382	29.5811518324607
"EOG091H03BE"	48	416	11.5384615384615
"EOG091H03CT"	250	323	77.3993808049536
"EOG091H03CU"	182	382	47.6439790575916
"EOG091H03D7"	138	433	31.8706697459584
"EOG091H03DA"	171	359	47.6323119777159
"EOG091H03DJ"	71	527	13.4724857685009
"EOG091H03DO"	179	362	49.4475138121547
"EOG091H03EM"	133	395	33.6708860759494
"EOG091H03FB"	120	325	36.9230769230769
"EOG091H03FE"	265	352	75.2840909090909
"EOG091H03FF"	217	343	63.265306122449
"EOG091H03FO"	221	355	62.2535211267606
"EOG091H03FW"	224	359	62.3955431754875
"EOG091H03GI"	62	385	16.1038961038961
"EOG091H03HK"	200	445	44.9438202247191
"EOG091H03HT"	106	322	32.9192546583851
"EOG091H03I3"	71	346	20.5202312138728
"EOG091H03IE"	92	311	29.5819935691318
"EOG091H03IS"	62	364	17.032967032967
"EOG091H03J4"	215	374	57.4866310160428
"EOG091H03JG"	131	198	66.1616161616162
"EOG091H03JP"	155	278	55.7553956834532
"EOG091H03KM"	99	412	24.0291262135922
"EOG091H03L0"	144	290	49.6551724137931
"EOG091H03LM"	297	335	88.6567164179105
"EOG091H03LO"	67	343	19.533527696793
"EOG091H03LP"	174	373	46.6487935656836
"EOG091H03LV"	72	383	18.798955613577
"EOG091H03NW"	106	367	28.8828337874659
"EOG091H03OC"	325	385	84.4155844155844
"EOG091H03OM"	156	332	46.9879518072289
"EOG091H03OO"	67	240	27.9166666666667
"EOG091H03PC"	15	339	4.42477876106195
"EOG091H03PU"	262	458	57.2052401746725
"EOG091H03PX"	114	301	37.8737541528239
"EOG091H03Q1"	196	295	66.4406779661017
"EOG091H03QK"	144	351	41.025641025641
"EOG091H03QW"	182	312	58.3333333333333
"EOG091H03QZ"	236	390	60.5128205128205
"EOG091H03RO"	184	338	54.4378698224852
"EOG091H03S3"	175	354	49.4350282485876
"EOG091H03S6"	113	336	33.6309523809524
"EOG091H03SV"	208	290	71.7241379310345
"EOG091H03T8"	155	300	51.6666666666667
"EOG091H03TK"	121	234	51.7094017094017
"EOG091H03TP"	273	330	82.7272727272727
"EOG091H03TQ"	139	323	43.0340557275542
"EOG091H03TW"	67	366	18.3060109289618
"EOG091H03TZ"	29	255	11.3725490196078
"EOG091H03U2"	45	345	13.0434782608696
"EOG091H03UM"	42	344	12.2093023255814
"EOG091H03UP"	117	309	37.8640776699029
"EOG091H03UR"	49	405	12.0987654320988
"EOG091H03VF"	250	314	79.6178343949045
"EOG091H03VV"	149	353	42.2096317280453
"EOG091H03W7"	169	326	51.840490797546
"EOG091H03W9"	159	348	45.6896551724138
"EOG091H03WD"	232	324	71.6049382716049
"EOG091H03WJ"	263	311	84.5659163987138
"EOG091H03WO"	264	314	84.0764331210191
"EOG091H03WS"	45	358	12.5698324022346
"EOG091H03WV"	210	325	64.6153846153846
"EOG091H03WX"	54	304	17.7631578947368
"EOG091H03XH"	55	198	27.7777777777778
"EOG091H03XL"	189	203	93.1034482758621
"EOG091H03XM"	47	305	15.4098360655738
"EOG091H03XY"	136	313	43.4504792332268
"EOG091H03XZ"	193	310	62.258064516129
"EOG091H03Y3"	222	306	72.5490196078431
"EOG091H03Y6"	273	292	93.4931506849315
"EOG091H03YO"	29	572	5.06993006993007
"EOG091H03YU"	85	550	15.4545454545455
"EOG091H03Z1"	296	332	89.1566265060241
"EOG091H03ZG"	35	338	10.3550295857988
"EOG091H03ZH"	25	264	9.46969696969697
"EOG091H03ZJ"	163	297	54.8821548821549
"EOG091H03ZL"	1	352	0.284090909090909
"EOG091H03ZT"	200	295	67.7966101694915
"EOG091H03ZU"	261	317	82.3343848580442
"EOG091H040D"	146	345	42.3188405797101
"EOG091H040I"	69	278	24.8201438848921
"EOG091H040W"	101	335	30.1492537313433
"EOG091H041E"	272	296	91.8918918918919
"EOG091H041T"	104	320	32.5
"EOG091H042A"	114	255	44.7058823529412
"EOG091H0431"	155	293	52.901023890785
"EOG091H0433"	141	318	44.3396226415094
"EOG091H0440"	230	352	65.3409090909091
"EOG091H044G"	71	308	23.0519480519481
"EOG091H044L"	209	300	69.6666666666667
"EOG091H044T"	161	367	43.8692098092643
"EOG091H044U"	14	370	3.78378378378378
"EOG091H045E"	51	535	9.53271028037383
"EOG091H045J"	239	276	86.5942028985507
"EOG091H045Z"	276	282	97.8723404255319
"EOG091H0460"	211	317	66.5615141955836
"EOG091H0464"	243	291	83.5051546391753
"EOG091H047D"	106	348	30.4597701149425
"EOG091H047Z"	99	371	26.6846361185984
"EOG091H048E"	24	254	9.44881889763779
"EOG091H048H"	144	310	46.4516129032258
"EOG091H0491"	238	279	85.3046594982079
"EOG091H0499"	187	290	64.4827586206897
"EOG091H049M"	135	303	44.5544554455446
"EOG091H04A1"	96	297	32.3232323232323
"EOG091H04AC"	82	419	19.5704057279236
"EOG091H04AQ"	22	264	8.33333333333333
"EOG091H04B8"	126	396	31.8181818181818
"EOG091H04C4"	145	250	58
"EOG091H04CB"	141	289	48.7889273356401
"EOG091H04CY"	57	436	13.0733944954128
"EOG091H04CZ"	173	317	54.5741324921136
"EOG091H04D0"	134	263	50.9505703422053
"EOG091H04D3"	123	433	28.4064665127021
"EOG091H04EF"	96	278	34.5323741007194
"EOG091H04F1"	129	412	31.3106796116505
"EOG091H04FI"	100	369	27.10027100271
"EOG091H04G3"	86	327	26.2996941896024
"EOG091H04G8"	100	282	35.4609929078014
"EOG091H04GH"	158	274	57.6642335766423
"EOG091H04HP"	250	306	81.6993464052288
"EOG091H04KS"	20	306	6.5359477124183
"EOG091H04L1"	236	261	90.4214559386973
"EOG091H04M5"	74	243	30.4526748971193
"EOG091H04MM"	133	548	24.2700729927007
"EOG091H04MR"	190	326	58.2822085889571
"EOG091H04MS"	143	309	46.2783171521036
"EOG091H04MX"	192	279	68.8172043010753
"EOG091H04OV"	271	284	95.4225352112676
"EOG091H04P1"	107	306	34.9673202614379
"EOG091H04P2"	129	245	52.6530612244898
"EOG091H04P8"	66	669	9.86547085201794
"EOG091H04PD"	197	303	65.016501650165
"EOG091H04PN"	80	252	31.7460317460317
"EOG091H04Q2"	269	332	81.0240963855422
"EOG091H04Q6"	62	402	15.4228855721393
"EOG091H04QD"	189	245	77.1428571428572
"EOG091H04RD"	147	314	46.8152866242038
"EOG091H04RG"	190	339	56.047197640118
"EOG091H04RZ"	103	262	39.3129770992366
"EOG091H04T9"	125	293	42.6621160409556
"EOG091H04TX"	65	257	25.2918287937743
"EOG091H04UR"	158	340	46.4705882352941
"EOG091H04VY"	95	258	36.8217054263566
"EOG091H04WQ"	52	245	21.2244897959184
"EOG091H04X6"	124	285	43.5087719298246
"EOG091H04XC"	191	294	64.9659863945578
"EOG091H04XH"	127	255	49.8039215686275
"EOG091H04XZ"	27	276	9.78260869565217
"EOG091H04Y6"	174	371	46.900269541779
"EOG091H04YC"	82	360	22.7777777777778
"EOG091H04YN"	163	272	59.9264705882353
"EOG091H04ZK"	98	267	36.7041198501873
"EOG091H04ZT"	67	320	20.9375
"EOG091H050B"	115	311	36.9774919614148
"EOG091H050D"	63	245	25.7142857142857
"EOG091H050V"	27	1248	2.16346153846154
"EOG091H050X"	26	348	7.47126436781609
"EOG091H051E"	100	322	31.055900621118
"EOG091H051G"	66	237	27.8481012658228
"EOG091H0526"	257	295	87.1186440677966
"EOG091H0538"	90	278	32.3741007194245
"EOG091H0539"	122	311	39.2282958199357
"EOG091H053G"	93	249	37.3493975903614
"EOG091H0542"	120	259	46.3320463320463
"EOG091H054R"	132	280	47.1428571428571
"EOG091H054Y"	194	270	71.8518518518519
"EOG091H0556"	238	282	84.3971631205674
"EOG091H055B"	50	391	12.7877237851662
"EOG091H055C"	151	312	48.3974358974359
"EOG091H055R"	141	294	47.9591836734694
"EOG091H056A"	76	305	24.9180327868852
